x,y
9.625212051668130542e-01,-1.288030852344609900e-01
9.663052359061726770e-01,-1.291951047862021917e-01
9.697957459786271661e-01,-1.295560894694894882e-01
9.729904535851271463e-01,-1.298859439390259718e-01
9.758872673520305741e-01,-1.301845868168172438e-01
9.784842884377650263e-01,-1.304519493119331575e-01
9.807798124726553324e-01,-1.306879738938789559e-01
9.827723313224223656e-01,-1.308926130414740097e-01
9.844605346665291634e-01,-1.310658280875835469e-01
9.858433113833195982e-01,-1.312075881782567011e-01
9.869197507347622356e-01,-1.313178693628090365e-01
9.876891433445638135e-01,-1.313966538291852504e-01
9.881509819644471726e-01,-1.314439292965654815e-01
9.885232741281749780e-01,-1.302215791099511077e-01
